date,Open,High,Low,Close,Volume,20_MA,50_MA,Upper_Band,Lower_Band
2024-09-25,161.47,162.81,161.3,161.49,18869199.0,164.27349999999998,168.93900000000002,167.59100873556,160.95599126443997
2024-09-24,163.03,163.2158,160.69,162.29,23332147.0,164.131,168.6974,167.5354917697825,160.7265082302175
2024-09-23,164.35,165.49,161.67,161.85,24150852.0,164.02,168.50760000000002,167.57433019820687,160.46566980179315
2024-09-20,163.5,163.73,162.06,163.59,40896438.0,164.02849999999998,168.34959999999998,167.57759788389444,160.47940211610552
2024-09-19,163.71,163.79,161.34,162.14,26587733.0,163.989,168.2134,167.60650073654972,160.3714992634503
2024-09-18,159.86,160.5,158.595,159.81,23677315.0,163.72150000000002,168.025,167.7430643722301,159.69993562776995
2024-09-17,159.02,160.55,158.375,159.32,20715612.0,163.4145,167.829,167.79838184147224,159.03061815852777
2024-09-16,157.31,158.25,156.6,158.06,18379775.0,163.0695,167.6372,167.99396299503442,158.1450370049656
2024-09-13,155.43,158.38,155.21,157.46,29591152.0,162.7805,167.4912,168.30472597578776,157.25627402421222
2024-09-12,153.8,154.82,152.65,154.69,29695048.0,162.411,167.2324,169.01547981934985,155.80652018065015
2024-09-11,149.92,151.5,147.52,151.16,29607693.0,161.876,166.73600000000002,170.1825969978204,153.5694030021796
2024-09-10,150.45,151.27,148.34,148.66,31118765.0,161.09,166.1468,171.18204585174246,150.99795414825755
2024-09-09,152.51,153.4,147.215,148.71,39260451.0,160.37650000000002,165.615,171.83163219846014,148.9213678015399
2024-09-06,157.3,157.83,150.55,150.92,37912130.0,159.5695,165.1836,171.31259647140945,147.82640352859056
2024-09-05,156.3,159.45,155.9805,157.24,18688747.0,159.1385,164.8168,170.5371837190222,147.73981628097778
2024-09-04,156.655,159.0,155.9616,156.45,19197458.0,158.66799999999998,164.3682,169.66837817531678,147.66762182468318
2024-09-03,161.72,161.85,156.48,157.36,38945301.0,158.1865,163.88299999999998,168.47300475137135,147.89999524862864
2024-08-30,162.615,163.66,161.6925,163.38,22123811.0,158.063,163.5436,168.01600557620586,148.10999442379412
2024-08-29,164.31,165.97,160.25,161.78,19699767.0,157.9545,163.2122,167.68205061938085,148.22694938061915
2024-08-28,165.035,165.6,161.5284,162.85,16407444.0,157.9605,162.8542,167.70059288834912,148.22040711165087
2024-08-27,165.835,166.4426,164.46,164.68,11821941.0,158.12,162.6176,168.20192963986275,148.03807036013725
2024-08-26,166.38,167.55,164.455,166.16,14190417.0,158.3135,162.546,168.8698057234196,147.7571942765804
2024-08-23,164.72,166.18,163.83,165.62,13955741.0,158.502,162.4736,169.45151592296912,147.5524840770309
2024-08-22,167.26,167.59,163.31,163.8,22493275.0,158.5125,162.3238,169.48294234582832,147.54205765417166
2024-08-21,165.15,166.85,164.67,165.85,22901997.0,158.698,162.21859999999998,170.04568531927322,147.3503146807268
2024-08-20,166.9,168.64,166.82,167.18,18341533.0,159.0665,162.07299999999998,171.02827468790466,147.10472531209533
2024-08-19,165.28,166.69,164.26,166.67,22416185.0,159.43400000000003,162.0128,171.87076282131613,146.99723717868392
2024-08-16,161.47,165.06,161.13,162.96,24208647.0,159.67900000000003,161.9376,172.1946018843004,147.16339811569966
2024-08-15,160.5,161.635,159.61,161.3,31524252.0,159.871,161.8582,172.36106156488927,147.38093843511075
2024-08-14,162.4,163.22,157.71,160.37,40591126.0,160.15500000000003,161.8112,172.40503458641686,147.9049654135832
2024-08-13,163.41,164.73,162.97,164.16,18551690.0,160.805,161.83880000000002,172.40791161281192,149.2020883871881
2024-08-12,164.35,164.9,161.84,162.29,15895286.0,161.4865,161.7818,171.5901341038882,151.3828658961118
2024-08-09,160.01,163.79,159.06,163.67,28602285.0,162.2345,161.77380000000002,170.38098642376713,154.08801357623287
2024-08-08,160.51,163.69,160.21,162.03,25578839.0,162.79,161.746,168.96443285270985,156.61556714729014
2024-08-07,161.25,162.98,158.47,158.94,25138573.0,162.875,161.6662,168.76813070223932,156.98186929776068
2024-08-06,159.33,160.57,156.41,158.29,49004561.0,162.967,161.52880000000002,168.48319663021087,157.45080336978916
2024-08-05,155.5,164.43,154.93,159.25,53630673.0,163.0615,161.40460000000002,168.22685126435775,157.89614873564224
2024-08-02,166.44,168.51,164.67,166.66,29130102.0,163.2255,161.4386,168.63589730032467,157.81510269967535
2024-08-01,170.25,174.05,168.88,170.76,24531392.0,163.6745,161.58900000000003,169.99391194799117,157.35508805200882
2024-07-31,173.24,174.245,170.01,171.54,25729090.0,164.10899999999998,161.77820000000003,171.3215851997152,156.89641480028476
2024-07-30,170.24,171.2299,168.44,170.29,18959686.0,164.3895,161.9468,172.11378426253296,156.66521573746704
2024-07-29,168.83,170.43,167.99,169.53,20293822.0,164.55800000000002,162.0498,172.5859632338598,156.53003676614026
2024-07-26,167.15,168.09,164.06,167.0,41336886.0,164.627,162.1302,172.71687957753028,156.53712042246974
2024-07-25,172.52,173.42,167.19,167.28,44851973.0,164.801,162.13459999999998,172.9653406927542,156.63665930724576
2024-07-24,173.6,176.19,171.82,172.63,49585203.0,165.14000000000001,162.27,174.01945707206986,156.26054292793017
2024-07-23,182.05,183.61,181.54,181.79,36352714.0,165.8705,162.5886,177.4499818082401,154.2910181917599
2024-07-22,180.59,182.7,180.23,181.67,24100345.0,166.6205,162.88219999999998,180.19009367967865,153.05090632032133
2024-07-19,178.88,180.29,177.13,177.66,18881885.0,167.35549999999998,163.1184,181.66267666804052,153.04832333195944
2024-07-18,181.93,182.5,176.47,177.69,25315727.0,168.175,163.3932,182.89343741706293,153.4565625829371
2024-07-17,182.965,183.55,179.9,181.02,20734071.0,169.2075,163.759,184.50633913724724,153.90866086275278
2024-07-16,187.36,188.68,183.3736,183.92,18290722.0,170.19549999999998,164.20759999999999,186.6317647504647,153.75923524953527
2024-07-15,184.92,188.24,184.92,186.53,16474043.0,171.40749999999997,164.69240000000002,188.92835298932917,153.88664701067077
2024-07-12,185.08,187.11,184.49,185.07,22898406.0,172.4775,165.1568,190.61181394084886,154.34318605915112
2024-07-11,189.845,190.86,185.08,185.57,25625784.0,173.6545,165.5964,191.98830596201006,155.32069403798997
2024-07-10,189.15,191.75,189.03,191.18,15952454.0,175.2665,166.1772,193.82091984513337,156.71208015486664
2024-07-09,190.31,191.36,188.72,188.98,15141312.0,176.801,166.7606,194.50042360048712,159.10157639951285
2024-07-08,189.895,190.17,187.78,189.03,21035886.0,178.29000000000002,167.35479999999998,194.7389577337388,161.84104226626124
2024-07-05,185.855,190.86,185.8,190.6,20967450.0,179.48700000000002,168.00560000000002,195.85656109754706,163.117438902453
2024-07-03,184.85,186.09,184.0,185.82,10242126.0,180.23999999999998,168.5728,196.3019078633435,164.17809213665646
2024-07-02,182.05,185.57,181.56,185.24,17372485.0,180.925,169.18379999999996,196.58825703845287,165.26174296154716
2024-07-01,183.03,183.88,181.3,182.99,16006128.0,181.56,169.82039999999998,196.41686231661143,166.70313768338858
2024-06-28,184.32,185.13,181.96,182.15,29156644.0,182.19099999999997,170.49020000000002,195.92619627970845,168.4558037202915
2024-06-27,184.18,186.05,184.02,185.41,18848884.0,183.1115,171.22420000000002,194.88804452938743,171.33495547061258
2024-06-26,182.63,184.51,182.48,183.88,19838972.0,183.9415,171.8834,193.05989615398818,174.8231038460118
2024-06-25,179.62,184.29,179.42,184.03,23235589.0,184.5115,172.41920000000002,191.91703498547315,177.10596501452687
2024-06-24,180.16,180.89,178.67,179.22,18298012.0,184.38299999999998,172.8746,192.07116479367804,176.69483520632193
2024-06-21,177.0,180.85,176.61,179.63,58582743.0,184.281,173.32,192.17216734743835,176.38983265256167
2024-06-20,175.37,177.29,174.99,176.3,20160085.0,184.21300000000002,173.5784,192.3635727276976,176.06242727230244
2024-06-18,177.14,177.385,174.1042,175.09,21869857.0,184.083,173.84459999999999,192.73891151817878,175.42708848182122
2024-06-17,175.46,178.36,174.81,177.24,19618497.0,183.894,174.13240000000002,192.9856164968794,174.8023835031206
2024-06-14,174.22,177.0623,174.15,176.79,18063555.0,183.5375,174.3746,193.1680148247374,173.90698517526258
2024-06-13,176.11,176.74,174.88,175.16,20913299.0,182.969,174.55460000000002,193.18056186826905,172.75743813173094
2024-06-12,178.25,180.41,176.11,177.79,27864737.0,182.605,174.798,193.01823954851463,172.19176045148535
2024-06-11,176.22,176.84,173.7701,176.62,21540582.0,182.1575,175.05440000000002,192.80093410153398,171.51406589846601
2024-06-10,174.97,177.06,172.76,175.01,23779218.0,181.349,175.23760000000001,191.55426778317587,171.1437322168241
2024-06-07,177.05,177.87,174.3,174.46,19661399.0,180.623,175.3832,190.60598784511933,170.64001215488065
2024-06-06,175.895,177.15,175.75,176.73,23251013.0,180.00799999999998,175.5844,189.30201074829827,170.7139892517017
2024-06-05,175.2,176.645,173.9339,175.41,22068519.0,179.24849999999998,175.8334,187.29720509362969,171.19979490637027
2024-06-04,173.28,173.845,171.89,173.79,26879596.0,178.647,176.0832,186.4212817573146,170.87271824268538
2024-06-03,172.54,174.525,171.16,173.17,27459118.0,178.0435,176.3392,185.53149818657258,170.5555018134274
2024-05-31,171.86,173.06,169.44,172.5,37638876.0,177.519,176.50600000000003,185.0176817087025,170.0203182912975
2024-05-30,175.2,175.22,171.79,172.11,22958677.0,177.017,176.70239999999998,184.55447996418792,169.47952003581207
2024-05-29,175.43,176.836,174.72,175.9,23388693.0,176.54149999999998,176.947,182.96756296756928,170.1154370324307
2024-05-28,174.45,177.27,174.365,176.4,20572157.0,176.16750000000002,177.2344,181.58708971063183,170.7479102893682
2024-05-24,174.98,175.77,173.65,174.99,16579438.0,175.7155,177.55540000000002,179.6890519043859,171.74194809561408
2024-05-23,177.07,178.25,172.95,173.55,21024935.0,175.43200000000002,177.86059999999998,179.15387615394036,171.71012384605967
2024-05-22,176.644,177.15,175.21,176.38,17880042.0,175.2695,178.2032,178.46640952739082,172.07259047260916
2024-05-21,176.9,178.15,175.81,177.85,16989369.0,175.347,178.42700000000002,178.7194275186322,171.97457248136783
2024-05-20,176.192,178.77,176.08,176.92,22554400.0,175.4385,178.55020000000002,178.88015978929786,171.99684021070215
2024-05-17,174.18,176.265,173.69,176.06,24479262.0,175.3795,178.6406,178.7303866069502,172.02861339304982
2024-05-16,173.29,175.115,172.69,174.18,27867947.0,175.249,178.7184,178.57176929525357,171.92623070474642
2024-05-15,170.63,172.65,170.51,172.51,26948370.0,175.1165,178.77800000000002,178.65833583084222,171.57466416915778
2024-05-14,169.77,171.25,168.8,170.34,25127138.0,174.744,178.84480000000002,178.65024547157708,170.83775452842292
2024-05-13,164.26,169.28,164.0,169.14,31327602.0,174.36999999999998,178.882,178.90215412939995,169.8378458706
2024-05-10,168.025,169.85,166.19,168.65,29799931.0,174.052,178.8024,179.2401102938409,168.86388970615909
2024-05-09,169.39,170.69,168.18,169.96,15346700.0,173.827,178.56580000000002,179.32185539295426,168.33214460704573
2024-05-08,169.0,170.15,168.735,169.38,19569146.0,173.4595,178.32,179.11758401641816,167.80141598358182
2024-05-07,168.5,171.76,168.39,171.25,28039696.0,173.25150000000002,178.1918,178.91352967141685,167.5894703285832
2024-05-06,167.46,168.14,166.03,168.1,21871283.0,172.967,178.0,179.0697589964233,166.86424100357672
2024-05-03,167.56,167.96,163.05,167.24,34662432.0,172.6705,177.72439999999997,179.2863739725796,166.0546260274204
2024-05-02,164.785,166.73,163.89,166.62,24294549.0,172.37650000000002,177.3784,179.5254013509993,165.22759864900075
2024-05-01,164.3,167.12,163.09,163.86,33493151.0,171.964,176.925,180.06616189473058,163.8618381052694
2024-04-30,165.612,168.1,162.6,162.78,33562861.0,171.308,176.47920000000002,180.15834545861597,162.45765454138402
2024-04-29,169.058,169.55,165.21,166.15,45610024.0,170.7955,176.09080000000003,179.59124412638545,161.99975587361456
2024-04-26,174.37,174.71,169.65,171.95,64665299.0,170.6435,175.70620000000002,179.23678079006172,162.05021920993826
2024-04-25,151.33,156.49,150.87,156.0,57109730.0,169.766,175.0466,180.44155476187,159.09044523812997
2024-04-24,157.49,159.565,157.165,159.13,22779112.0,168.9035,174.4486,180.10356442650647,157.70343557349355
2024-04-23,156.96,158.97,156.28,158.26,21151568.0,167.92399999999998,173.80180000000001,179.25539727529338,156.59260272470658
2024-04-22,154.31,157.64,154.06,156.28,26446206.0,166.892,173.211,178.52911774769356,155.25488225230643
2024-04-19,156.2,156.36,152.3,154.09,32615639.0,165.7935,172.588,177.9240343744835,153.66296562551648
2024-04-18,155.34,156.94,154.62,156.01,19883044.0,164.885,172.04840000000002,177.0923135973136,152.6776864026864
2024-04-17,155.62,157.08,154.58,155.47,21763130.0,164.03300000000002,171.5148,176.3773694388213,151.68863056117874
2024-04-16,154.19,155.65,153.43,154.4,20779495.0,163.23600000000002,170.8946,175.91946358141388,150.55253641858616
2024-04-15,158.86,159.24,154.59,154.86,27136472.0,162.522,170.31420000000003,175.41212612734824,149.63187387265174
2024-04-12,157.96,160.2225,157.14,157.73,25353746.0,161.976,169.7882,174.69719226454728,149.25480773545272
2024-04-11,156.91,159.68,156.46,159.41,27166431.0,161.44850000000002,169.392,173.63962235237287,149.25737764762718
2024-04-10,156.21,156.61,154.68,156.14,22838629.0,160.7865,168.92219999999998,172.5961129888903,148.97688701110968
2024-04-09,156.085,158.56,155.19,156.6,30739691.0,160.054,168.5282,170.90979040250667,149.19820959749333
2024-04-08,152.78,155.27,152.61,154.85,20577435.0,159.3915,168.1234,169.78729120302253,148.99570879697748
2024-04-05,150.03,153.42,149.6,152.5,23328522.0,158.6545,167.6286,168.79430893622538,148.51469106377465
2024-04-04,153.5,154.77,150.45,150.53,34468227.0,157.85,167.1034,167.8814096191595,147.81859038084048
2024-04-03,153.6,155.08,152.73,154.92,23884801.0,157.40300000000002,166.6986,167.0978952384339,147.70810476156615
2024-04-02,153.5,154.7,152.15,154.56,24491676.0,156.99200000000002,166.234,166.42039295342573,147.5636070465743
2024-04-01,150.69,155.74,150.61,155.49,31308247.0,156.459,165.8114,164.85642541998482,148.0615745800152
2024-03-28,150.85,151.43,150.17,150.93,24485390.0,155.408,165.3298,160.07504730277205,150.74095269722793
2024-03-27,151.18,151.635,148.9,150.87,22879178.0,155.1515,164.858,160.22752113138944,150.07547886861056
